pnu,floor,year_approval,area_exclusive,price
11380107001,2,2002,66.15,209000000.0
11380107001,2,1999,46.08,146000000.0
11380108001,2,2015,32.0,134000000.0
11380108001,2,2015,29.95,125000000.0
11380108001,2,1994,35.35,127000000.0
11380108001,2,2015,34.51,180000000.0
11380108001,2,2014,48.3,238000000.0
11380108001,2,1992,36.19,123000000.0
11380108001,2,2014,39.7,230000000.0
11380109001,2,2003,79.17,260000000.0
11380109001,2,2002,58.38,100000000.0
11380109001,2,2015,29.04,179000000.0
11380110001,2,2003,47.4,233000000.0
11380110001,2,1995,66.69,297000000.0
11380110001,2,2001,20.15,160000000.0
11380110001,2,2001,39.91,195000000.0
11380110001,2,1991,58.77,193000000.0
11380110001,2,1992,45.72,278000000.0
11380110001,2,1977,52.5,335000000.0
11380110001,2,2004,48.76,345300000.0
11380110001,2,2004,79.05,370000000.0
11380110002,2,1989,48.96,215000000.0
11410110001,2,2010,52.76,290000000.0
11410110001,2,2017,33.85,160000000.0
11410110001,2,2017,54.77,355000000.0
11410110001,2,2017,53.58,370000000.0
11410111001,2,1992,84.6,360000000.0
11410111001,2,2011,27.35,135000000.0
11410111001,2,1975,79.01,237000000.0
11410116001,2,1992,56.25,163000000.0
11410117001,2,1999,57.88,212500000.0
11410117001,2,1976,46.91,202000000.0
11410117001,2,1988,38.16,115000000.0
11410117001,2,1990,82.35,330000000.0
11410118001,2,2014,34.72,184000000.0
11410118001,2,1986,40.6,100000000.0
11410118001,2,1986,53.61,145000000.0
11410118001,2,1991,47.34,89000000.0
11410118001,2,2003,59.3,185000000.0
11410118001,2,1987,57.6,268000000.0
11410118001,2,1987,57.6,268000000.0
11410118001,2,2012,44.46,184000000.0
11410119001,2,2008,56.54,199000000.0
11410119001,2,2007,54.32,175000000.0
11410119001,2,1994,60.87,165000000.0
11410119001,2,2004,59.84,275000000.0
11410119001,2,1994,37.47,170000000.0
11410119001,2,2001,54.26,227000000.0
11410119001,2,1992,55.72,180000000.0
11410119001,2,2014,40.62,216000000.0
11410119001,2,1991,44.57,260000000.0
11410119001,2,1993,37.58,215000000.0
11410120001,2,2011,56.51,250000000.0
